runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_P                 	1560839038	0.4500	0.1000	0.3000	0.3500	0.3000	0.2500
set_recall            	1560839038	0.9000	0.2000	0.6000	0.7000	0.6000	0.5000
set_F                 	1560839038	0.6000	0.1333	0.4000	0.4667	0.4000	0.3333
num_ret               	1568257892	20	20	20	20	20	20
num_rel               	1568257892	10	10	10	10	10	10
num_rel_ret           	1568257892	6	2	4	4	6	4
map                   	1568257892	0.4649	0.2000	0.3071	0.4000	0.3672	0.4000
ndcg_cut_01            	1568257892	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1568257892	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1568257892	0.8827	0.7654	0.7654	0.8827	0.7654	0.8827
ndcg_cut_04            	1568257892	0.8934	0.6951	0.6951	0.8934	0.6951	0.8934
ndcg_cut_05            	1568257892	0.8254	0.6422	0.6422	0.8254	0.6422	0.8254
ndcg_cut_06            	1568257892	0.7713	0.6001	0.6656	0.7713	0.6001	0.7713
ndcg_cut_07            	1568257892	0.7267	0.5654	0.6849	0.7267	0.5654	0.7267
ndcg_cut_08            	1568257892	0.6891	0.5361	0.6494	0.6891	0.5880	0.6891
ndcg_cut_09            	1568257892	0.6566	0.5108	0.6188	0.6566	0.6074	0.6566
ndcg_cut_10           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_11           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_12           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_13           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_14           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_15           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_16           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_17           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6603	0.6281
ndcg_cut_18           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6603	0.6281
ndcg_cut_19           	1568257892	0.7003	0.4887	0.5920	0.6281	0.6603	0.6281
ndcg_cut_20           	1568257892	0.7003	0.4887	0.5920	0.6281	0.6603	0.6281
set_P                 	1568257892	0.3000	0.1000	0.2000	0.2000	0.3000	0.2000
set_recall            	1568257892	0.6000	0.2000	0.4000	0.4000	0.6000	0.4000
set_F                 	1568257892	0.4000	0.1333	0.2667	0.2667	0.4000	0.2667
num_ret               	1634952948	20	20	20	20	20	20
num_rel               	1634952948	23	23	23	23	23	23
num_rel_ret           	1634952948	9	1	7	8	0	3
map                   	1634952948	0.3100	0.0029	0.1190	0.2542	0.0000	0.1304
ndcg_cut_01            	1634952948	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	1634952948	1.0000	0.0000	0.6131	1.0000	0.0000	1.0000
ndcg_cut_03            	1634952948	1.0000	0.0000	0.4693	1.0000	0.0000	1.0000
ndcg_cut_04            	1634952948	1.0000	0.0000	0.3904	0.8319	0.0000	0.8319
ndcg_cut_05            	1634952948	0.8688	0.0000	0.3392	0.7227	0.0000	0.7227
ndcg_cut_06            	1634952948	0.7751	0.0000	0.3026	0.6448	0.0000	0.6448
ndcg_cut_07            	1634952948	0.7499	0.0000	0.2749	0.6774	0.0000	0.5857
ndcg_cut_08            	1634952948	0.7699	0.0000	0.2529	0.7031	0.0000	0.5390
ndcg_cut_09            	1634952948	0.7154	0.0000	0.2350	0.6887	0.0000	0.5009
ndcg_cut_10           	1634952948	0.6699	0.0000	0.2837	0.6449	0.0000	0.4690
ndcg_cut_11           	1634952948	0.6601	0.0000	0.3251	0.6076	0.0000	0.4419
ndcg_cut_12           	1634952948	0.6250	0.0000	0.3079	0.6019	0.0000	0.4184
ndcg_cut_13           	1634952948	0.6093	0.0000	0.3002	0.5868	0.0000	0.4079
ndcg_cut_14           	1634952948	0.5948	0.0000	0.3169	0.5727	0.0000	0.3982
ndcg_cut_15           	1634952948	0.5812	0.0456	0.3097	0.5597	0.0000	0.3891
ndcg_cut_16           	1634952948	0.5903	0.0446	0.3247	0.5474	0.0000	0.3806
ndcg_cut_17           	1634952948	0.6199	0.0437	0.3179	0.5360	0.0000	0.3726
ndcg_cut_18           	1634952948	0.6074	0.0428	0.3115	0.5252	0.0000	0.3651
ndcg_cut_19           	1634952948	0.5956	0.0420	0.3249	0.5150	0.0000	0.3580
ndcg_cut_20           	1634952948	0.5844	0.0412	0.3563	0.5241	0.0000	0.3513
